Nadadores ordenados por mejores tiempos:
Nombre: Sofia Ortega, Estilo: mariposa, Prueba: 50, Tiempo: 32.27 segundos
Nombre: Raquel Sanchez, Estilo: crol, Prueba: 200, Tiempo: 143.04 segundos
Nombre: Isabel Castro, Estilo: crol, Prueba: 200, Tiempo: 146.3 segundos
Nombre: David Ruiz, Estilo: mariposa, Prueba: 200, Tiempo: 146.71 segundos
Nombre: Manuel Alvarez, Estilo: pecho, Prueba: 200, Tiempo: 148.55 segundos
Nombre: Jose Ruiz, Estilo: mariposa, Prueba: 200, Tiempo: 149.17 segundos
Nombre: Isabel Morales, Estilo: crol, Prueba: 200, Tiempo: 149.38 segundos
Nombre: Ana Gonzalez, Estilo: pecho, Prueba: 200, Tiempo: 149.55 segundos
Nombre: Manuel Vargas, Estilo: pecho, Prueba: 200, Tiempo: 151.89 segundos
Nombre: Elena Gonzalez, Estilo: crol, Prueba: 200, Tiempo: 153.1 segundos
Nombre: Maria Lopez, Estilo: pecho, Prueba: 200, Tiempo: 156.49 segundos
Nombre: Elena Castro, Estilo: dorso, Prueba: 200, Tiempo: 158.57 segundos
Nombre: Jose Morales, Estilo: pecho, Prueba: 200, Tiempo: 161.98 segundos
Nombre: Carmen Fernandez, Estilo: mariposa, Prueba: 200, Tiempo: 161.98 segundos
Nombre: Carlos Sanchez, Estilo: crol, Prueba: 200, Tiempo: 164.24 segundos
Nombre: Sofia Diaz, Estilo: crol, Prueba: 200, Tiempo: 168.76 segundos
Nombre: Miguel Diaz, Estilo: dorso, Prueba: 200, Tiempo: 171.47 segundos
Nombre: Laura Lopez, Estilo: pecho, Prueba: 200, Tiempo: 173.46 segundos
Nombre: Elena Lopez, Estilo: dorso, Prueba: 200, Tiempo: 174.46 segundos
Nombre: Sara Fernandez, Estilo: dorso, Prueba: 200, Tiempo: 174.88 segundos
Nombre: Raquel Flores, Estilo: pecho, Prueba: 200, Tiempo: 176.27 segundos
Nombre: Juan Morales, Estilo: crol, Prueba: 200, Tiempo: 184.02 segundos
Nombre: Ana Romero, Estilo: pecho, Prueba: 200, Tiempo: 186.84 segundos
Nombre: Jose Romero, Estilo: dorso, Prueba: 200, Tiempo: 187.33 segundos
Nombre: Carlos Sanchez, Estilo: dorso, Prueba: 200, Tiempo: 187.69 segundos
Nombre: Jose Romero, Estilo: mariposa, Prueba: 200, Tiempo: 187.78 segundos
Nombre: Jose Ramirez, Estilo: mariposa, Prueba: 200, Tiempo: 190.24 segundos
